Date,Open,High,Low,Close,Adj Close,Volume
1/2/15,42.689999,43.049999,42.200001,42.689999,41.126263,6890400
1/5/15,42.830002,42.900002,41.450001,41.639999,40.114731,7877700
1/6/15,41.900002,42.049999,39.669998,40.459999,38.977947,10576800
1/7/15,40.77,41.119999,40.380001,40.799999,39.305492,7693100
1/8/15,41,42.09,40.950001,41.880001,40.34594,7301900
1/9/15,41.880001,42.040001,40.639999,40.790001,39.295853,7124300
1/12/15,40.450001,40.860001,39.720001,40.25,38.775646,7095900
1/13/15,40.619999,41.759998,39.939999,40.48,38.997215,8366400
1/14/15,39.720001,40.23,38.630001,39.439999,37.995312,8540400
1/15/15,39.220001,39.759998,38.75,38.900002,37.475086,7480200
1/16/15,38.68,39.57,38.259998,39.48,38.033848,9110100
1/20/15,40.240002,40.82,39.720001,40.790001,39.295853,10002900
1/21/15,40.450001,41.91,40.169998,41.830002,40.297771,10351900
1/22/15,43.450001,45.700001,43.34,45.349998,43.688831,20870700
1/23/15,45.450001,46,44.599998,45.779999,44.103085,11771100
1/26/15,45.330002,46.41,45.209999,46.400002,44.700367,8447600
1/27/15,45.599998,46.41,44.869999,45.880001,44.199417,7747000
1/28/15,46.619999,47.080002,45.720001,45.799999,44.122353,9339300
1/29/15,45.950001,47.169998,45.5,46.990002,45.268761,8234100
1/30/15,46.34,46.779999,45.099998,45.18,43.525059,11999300
2/2/15,44.939999,45.02,42.59,44.529999,42.898861,13259700
2/3/15,43.169998,43.939999,42.540001,43.25,41.665756,11989500
2/4/15,43.509998,45.07,43.470001,44.639999,43.004841,8900500
2/5/15,44.310001,44.48,43.360001,44.470001,42.841068,7951000
2/6/15,44.130001,44.73,43.720001,44.139999,42.523159,8502600
2/9/15,43.5,43.689999,42.91,43.259998,41.675385,8643100
2/10/15,43.720001,44.189999,43.220001,43.779999,42.176338,5881500
2/11/15,44.459999,44.509998,43.209999,43.5,41.906593,5288900
2/12/15,43.060001,43.52,42.189999,43.5,41.906593,7304400
2/13/15,43.110001,43.630001,42.919998,43.299999,41.713924,6395500
2/17/15,43.459999,43.599998,42.549999,42.59,41.029922,8818100
2/18/15,42.939999,43.68,42.23,43.549999,41.954765,8205000
2/19/15,44.919998,44.970001,43.700001,43.759998,42.157074,7535500
